Calendar Year,Property Name,Primary Property Type - Self Selected,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Electricity Use - Grid Purchase (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²),Largest Property Use Type - Gross Floor Area (ft²),Site EUI (kBtu/ft²)
2024,13-18 Dickens Street,Multifamily Housing,2310912.2,Not Available,175745.3,133.63,Not Available,34822,66.4
2024,13-19 Eggert Place,Multifamily Housing,2356057.5,Not Available,166447.6,135.46,Not Available,17411,135.3
2024,23-34 Mott Avenue,Multifamily Housing,2463850.1,Not Available,143413.2,139.75,Not Available,17410,141.5
2024,Martin Gelfand: 3096 Brighton 6th St,Multifamily Housing,6057325.3,Not Available,727049,371.27,Not Available,89366,67.8
2024,2901 Avenue J,Multifamily Housing,5229473.6,Not Available,538803.5,311.15,Not Available,60990,85.7
2024,44 West 77th St,Multifamily Housing,6583574.7,Not Available,1712378.9,455.8,Not Available,123200,53.4
2024,440 9th Ave.,Office,23194221.4,Not Available,17245421.2,2300.7,Not Available,326741,66.5
2024,NH 122 East 76th St 1043155,Medical Office,1192874.5,Not Available,1179732.5,136.47,Not Available,39942,18.6
2024,29 Broadway,Office,15510144.6,Not Available,6807974.1,1361.32,Not Available,296550,51.5
2024,Impact: 144-55 Melbourne Ave,Multifamily Housing,14541922.7,Not Available,1876199.5,961.42,Not Available,123277,118
2024,Halstead - 309 East 49th Street,Multifamily Housing,10767904.6,Not Available,2253445.3,894.28,Not Available,131680,78.8
2024,Chestnut - 1254 Sherman Avenue,Multifamily Housing,4949132.6,Not Available,738276.4,308.62,Not Available,61360,80.7
2024,Chestnut - 1340 Merriam Avenue,Multifamily Housing,6275398.5,Not Available,1192680.5,407.23,Not Available,99758,62.9
2024,Chestnut - 615 East 168th Street,Multifamily Housing,3089750.7,Not Available,659033,204.95,Not Available,54000,57.2
2024,Chestnut - 240 East 175th Street,Multifamily Housing,11202856,Not Available,1801349.9,706.67,Not Available,124324,90.1
2024,Northridge - 9008/9010 - CHILD,Multifamily Housing,16435076.4,Not Available,6351936.3,1266.59,Not Available,84447,194.6
2024,TKR - 65-35 108th Street,Multifamily Housing,7648615.6,Not Available,1308672.6,487.35,Not Available,88678,86.3
2024,Maple_102-40 62nd Avenue,Multifamily Housing,6729224.7,Not Available,1430024.5,450.34,Not Available,119825,56.2
2024,Birch_102-45 62nd Road,Multifamily Housing,6812392.8,Not Available,1118584.6,436.98,Not Available,106079,64.2
2024,Portland_2411 East 3rd Street,Multifamily Housing,5349615.4,Not Available,854209.5,337.08,Not Available,70483,75.9
2024,Pasadena_2625 E 13th Street,Multifamily Housing,685118,Not Available,685118,78.85,Not Available,80356,8.5
2024,Earth_63-10 108th Street,Multifamily Housing,6453139.4,Not Available,935782.5,459.28,Not Available,80622,77.5
2024,Rome_96-10 57th Avenue,Multifamily Housing,24458267.3,Not Available,4449343.7,1574.83,Not Available,238277,102.6
2024,Brazil_97-07 Horace Harding Expressway,Multifamily Housing,5801117,Not Available,4159633,565.91,Not Available,241991,24
2024,Peru_97-11 Horace Harding Expressway,Multifamily Housing,3951659.8,Not Available,3951659.8,454.79,Not Available,241947,16.3
2024,Mexico_97-22 57th Avenue,Multifamily Housing,3860015.4,Not Available,3860015.4,444.24,Not Available,238141,16.2
2024,Panama_97-28 57th Avenue,Multifamily Housing,4312703.5,Not Available,3543458.4,448.67,Not Available,237191,18.2
2024,Singapore_98-17 Horace Harding Expressway,Multifamily Housing,4187699.2,Not Available,4187699.2,481.95,Not Available,239511,17.5
2024,Shalimar(Bali)_98-23 Horace Harding Expressway,Multifamily Housing,12747853.1,Not Available,3776612.1,911.14,Not Available,239555,53.2
2024,Brisbane_98-32 57th Avenue,Multifamily Housing,17789081.2,Not Available,4083562.8,1197.93,Not Available,236922,75.1
2024,Melbourne_98-38 57th Avenue,Multifamily Housing,12449114.5,Not Available,3655161.8,887.75,Not Available,236710,52.6
2024,Mantena - 29656,Multifamily Housing,12701830.6,Not Available,6622445.5,1085.06,Not Available,86609,126.5
