Calendar Year,Property Name,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Total GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²)
2021,320 Park Avenue,49996014.1,6514324.9,3781.9,6320
2021,140 Broadway,57972043.4,24097412.7,4605.3,23196
2021,CBRE-1166 Avenue of the Americas,138709156.3,Not Available,9960.6,3156
2021,730 Third Ave,37774730.2,6958880.9,2767.7,15450
2021,One Liberty Plaza,157855797.2,10203414.9,11683.1,18000
2021,One New York Plaza,238865670.1,Not Available,16656.6,4894
2021,SL Green - 245 Park Avenue,152075751.7,Not Available,11196.4,4922
2021,300 Madison Avenue,91866537.2,Not Available,7005.1,12000
2021,200 Liberty Street,101034190.7,Not Available,2121.3,73536
2021,225 Liberty Street,172354571.4,Not Available,13018.9,26811
2021,250 Vesey Street,139628061.6,41420466.7,10341.2,8266
2021,1 Penn Plaza,309025830.2,Not Available,18401.5,3100
2021,Two Penn Plaza,87137797.3,Not Available,6406.7,2900
2021,731 Lexington Avenue,166371008.4,73397346.8,12805.6,6000
2021,650 Fifth Avenue,26745159.4,Not Available,2019.9,1910
2021,One Court Square,60015821.3,Not Available,4764.7,3807
2021,345 Park Ave LP,215990096.7,31277325.8,15548.9,10969.4
2021,40 East 52nd Street LP,22169404.9,12318794.2,1712.8,5604
2021,330 Madison Avenue,45977559.3,Not Available,3500.6,4738
2021,909 Third Avenue,62195193.6,10184290.4,4665.8,2800
2021,1290 Ave of Americas,198596674.3,941155,14470.9,847
2021,Eleven Penn Plaza,72931051,Not Available,5412.5,1800
2021,770 Broadway,66196529.2,Not Available,4836.9,1000
2021,1633 Broadway - Paramount Plaza,189838568.9,Not Available,13850.5,13124
2021,900 Third Ave,23945696.6,Not Available,1836.1,5190
2021,712 Fifth Avenue,26355274.7,Not Available,1990.6,1205
2021,745 Fifth Ave.,32161208.9,Not Available,2445.8,3157
2021,UJA 732 Lexington Avenue,10631519.9,2095759.1,811.3,1071
2021,2 United Nations Plaza,43878468.1,Not Available,3173.9,1065
2021,522 Fifth Avenue,29686164.2,8260147.3,2255.3,5436
2021,31 West Fifty Second,43662813.7,Not Available,3410.7,8645
2021,1301 Avenue of the Americas,177338053.1,Not Available,11620.2,16957
2021,Court Square Place,17941493.2,5637443.3,1275.4,3315
2021,Hines 750 Seventh,40770421.9,Not Available,3041.4,11750
2021,Hippodrome- 1120 Avenue of the Americas,40230984.7,Not Available,2965.2,2000
2021,UNICEF HOUSE,15702118.8,4280394.8,1175,4368
2021,55 Broadway,21944747,Not Available,1650.2,1484
2021,02-1-New York Head Office,78266055,913398.9,5647,13479
2021,100 West 33rd Street,40863137.5,Not Available,3145.6,5000
2021,601 Lexington Avenue,96084578.6,Not Available,7287.1,4500
2021,Waterman - 125 West 55th Street,37725646.8,Not Available,2826.6,2747
2021,90 Church Street,66755980.9,14538692.5,5048.5,6500
2021,GM Building,189035741.2,Not Available,13751.6,1560
2021,345 Hudson Street,53314191.7,18616021,3896.5,21225
2021,395 Hudson New York LLC,51310485.3,Not Available,4012.5,39830
2021,40 Fulton Street,11167830.4,Not Available,872.4,1818
2021,Carnegie Hall Tower ll,37059298.7,600058.1,2769.4,830
2021,Trinity- 75 Varick,44008638.5,Not Available,3197.8,750
2021,NY3-011 Teleport A,66682115.4,81007573,5295.6,133983
2021,55 Water,280405247,Not Available,21083.8,37400
2021,2 MetroTech Center,92616064.2,146580033.8,7048.7,33176
2021,JPMorgan Chase-383M,151608109,Not Available,11444.6,39591
2021,JPMorgan Chase-383M,151608109,Not Available,11444.6,39591
2021,GC - 498 7th Ave,43540481.2,Not Available,3060.2,6057
2021,Broad Financial Center,23303428.8,Not Available,1784.6,8000
2021,600 Madison Avenue,27886598.4,3821776.7,2048.9,1000
2021,600 Madison Avenue,27886598.4,3821776.7,2048.9,1000
2021,375 Park Avenue,96051745.3,Not Available,6848.7,4000
2021,Inter Active,20994169.7,Not Available,1400.9,1446
2021,Western Union Building,315082805.5,830982193.7,24953.7,1074536
2021,162 Fifth Avenue,15523077.4,Not Available,1178.4,2224
2021,Jeff Bar Inc/ 630 9th Ave Leasehold,20112436.9,3433892.5,1432,4352
2021,7 West 34th,18234723,Not Available,1417,3040
2021,11 W 19th Street,15919469.2,Not Available,1207.2,914
2021,NYSE 11 Wall - City Filing,84497147,Not Available,6301.2,10708
2021,375 Pearl Street,130420148.5,110071030.7,10173.2,401022
2021,1 William Street,7299771.8,1955657.5,571.3,2000
2021,NYW-420 Teleport B,2406338.9,22231838.6,189.7,66080
2021,SL Green Realty Corporation 919 Third Avenue,124305695.1,Not Available,9099.6,12543
2021,SL Green Realty Corporation 919 Third Avenue,124305695.1,Not Available,9099.6,12543
2021,SL Green Realty Corporation 1185 Ave of the Americas,89689295.7,Not Available,6619.5,11100
2021,SL Green Realty Corporation 625 Madison Avenue,40084929.7,Not Available,2900.7,2947
2021,SL Green Realty Corporation 1350 Ave of the Americas,44297254.1,Not Available,3192.3,336
2021,SL Green Realty Corporation 711 Third Avenue,32363720.3,Not Available,2387.8,1571
2021,SL Green Realty Corporation 750 Third Avenue,57639124.3,Not Available,4281.6,320
2021,SL Green Realty Corporation 100 Park Avenue,44863720.5,Not Available,3384.4,2678
2021,SL Green Realty Corporation 461 Fifth Avenue,12465680.5,Not Available,960.2,1648
2021,SL Green Realty Corporation 555 West 57th Street,98149981.4,Not Available,7353.5,16888
2021,SL Green Realty Corporation 420 Lexington Avenue,74388459.6,Not Available,5540.3,3508
2021,SL Green Realty Corporation 810 Seventh Avenue,61695363.4,Not Available,4460.6,6505
2021,SL Green Realty Corporation 485 Lexington Avenue,47755938.7,Not Available,3570.3,1368
2021,SL Green Realty Corporation 1515 Broadway,156700296.8,Not Available,11358.4,11176
2021,333 West 34th Street,25277555.5,Not Available,1801.7,4900
2021,SL Green Realty Corporation 125 Park Avenue,33355302.1,Not Available,2503.6,3281
2021,SL Green Realty Corporation 220 East 42nd Street,54043809.7,Not Available,4276.4,200
2021,One Bryant Park,449770950,65069326.2,25590.8,20000
2021,CBRE- 2 Grand Central,37607569.7,Not Available,2888.5,2000
2021,ConEd Irving Place,120363845.1,Not Available,8736.1,69781
2021,ConEd Flatbush HQ,27336364.3,Not Available,2172.2,9617
2021,SL Green Realty Corporation 110 East 42nd,24129311.7,Not Available,1709.6,1037
2021,11 Times Square,80890390.2,Not Available,5714.5,5448
2021,MS Icahn Medical Institute,221046204.8,Not Available,14337.4,37278
2021,3 World Financial Center,164176351,Not Available,11221.2,5527
2021,JPMorgan Chase-270P,8838847.7,Not Available,702.4,12762
2021,JPMorgan Chase-3CMC,46822082.6,Not Available,3709.1,140940
2021,JPMorgan Chase-4CMC,115128734.7,Not Available,9104.6,14815
2021,ConEd The Learning Center,11252895.2,Not Available,866.3,2168
2021,4 NY Plaza - 5213060802,63755916.8,Not Available,4891.8,10000
2021,1585 Broadway,144802915.4,Not Available,9768.2,44048
2021,ABC 47W 30W,83572942.7,Not Available,6341,74400
2021,ABC 125 West End Avenue,24349501.5,Not Available,1934.7,15000
2021,650 Madison Avenue,37753086.5,Not Available,2917.3,1300
2021,02-3-New York 33ML,29093887.4,Not Available,2235.1,7436
2021,New York Blood Center,56681342.1,1177069.8,3964.4,1200
2021,85 10th Ave,108662000.1,118584507.7,8412.2,115383
2021,521 Fifth Avenue,33860744,Not Available,2446,1796
2021,FAA Facility,10024415.1,Not Available,742.7,1500
2021,SL Green Realty Corporation 100 Church Street,68879766.4,Not Available,5116.6,11114
2021,L&L_222 Broadway,55647252.9,28774703.7,4296,11197
2021,L&L_222 Broadway,55647252.9,28774703.7,4296,11197
2021,101 Avenue of the Americas,43479360.3,Not Available,3281.9,1119
2021,325 Hudson Street,31362751.1,38970955.6,2467.1,69447
2021,50 Varick Street Condominium,35553076.8,Not Available,2667.2,26000
2021,110 William Street,39694601.4,Not Available,2952.4,3250
2021,Gotham Tower,50905811.9,Not Available,3777.5,4200
2021,17148 - 220 West 42nd Street,18239040.6,Not Available,1373.9,2730
2021,SL Green Realty Corporation 304 Park Avenue South,14918355.8,Not Available,1139.2,650
2021,19 West 44th Street,17474778.8,Not Available,1327.1,480
2021,452 Fifth Ave,46044276.5,Not Available,3507.4,4372
2021,1 W 39th Street,20386528.7,31677655.3,1580.5,9816
2021,5 Manhattan West,107712494.2,Not Available,8267.8,28240
2021,McGraw Hill - 1221 AOA,206302412.3,Not Available,15195.3,6000
2021,1285 Avenue of the Americas (RXR),153695039.2,Not Available,11442.8,31904
2021,RXR Realty LLC 450 Lexington Avenue,51350622.6,Not Available,3953.7,6349
2021,360 Lexington Ave,11360927.6,Not Available,848.1,405
2021,300 Vesey Street,57816846.4,Not Available,4466.6,25516
2021,250 West 55th Street,54940725.7,Not Available,3891.6,3500
2021,275 7th,40222341,Not Available,3144.2,1728
2021,216 East 45th Street,21000044.4,Not Available,1638.6,13927
2021,150 Varick Street,18261397.7,10854532.5,1273.4,19160
2021,218 West 18th Street,15942189.2,Not Available,1155.7,5400
2021,51 ASTOR PLACE,25716839.4,Not Available,1941.5,4254
2021,101 Leonard Street,8762391.1,Not Available,627.7,5934
2021,SL Green Realty Corporation 11 Madison Avenue,139415205.1,Not Available,10500.7,47998
