Calendar Year,Property Name,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Total GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²)
2020,375 Pearl Street,138186309.6,88750680.5,10112.9,401022
2020,1211 Avenue of the Americas - CG LL84 Filing,189158314.8,Not Available,13667.1,39867
2020,280 Park Avenue,151378056.2,Not Available,10545.6,5013
2020,17148 - 220 West 42nd Street,10526026.3,Not Available,725.6,2730
2020,40 East 52nd Street LP,21865123.2,9892561.6,1585.4,5604
2020,227 East 30th Street,55800560.1,Not Available,3908.5,104280
2020,240 East 38th Street,151140614.6,Not Available,10609.7,139825
2020,One Bryant Park,412849320.9,59987543.5,23058.1,20000
2020,Hahn Kook Center (Agg Data),32301460.3,Not Available,2257.5,2752
2020,SL Green - 245 Park Avenue,138804451.2,Not Available,9748.7,4922
2020,SL Green Realty Corporation 919 Third Avenue,127006656.2,Not Available,8914.2,12543
2020,SL Green Realty Corporation 1185 Ave of the Americas,94179222.4,Not Available,6608.5,11100
2020,SL Green Realty Corporation 625 Madison Avenue,43841099.6,Not Available,3009.6,1367
2020,SL Green Realty Corporation 1350 Ave of the Americas,45863240.9,Not Available,3179,336
2020,SL Green Realty Corporation 711 Third Avenue,31939973.2,Not Available,2239.8,1571
2020,SL Green Realty Corporation 750 Third Avenue,44793792.8,Not Available,3101.6,320
2020,SL Green Realty Corporation 100 Park Avenue,48586404.2,Not Available,3457.5,2678
2020,SL Green Realty Corporation 461 Fifth Avenue,12351663.9,Not Available,892.8,889
2020,SL Green Realty Corporation 555 West 57th Street,78241310,Not Available,5501.7,16888
2020,SL Green Realty Corporation 420 Lexington Avenue,72143819.6,Not Available,5108.3,3508
2020,SL Green Realty Corporation 810 Seventh Avenue,66219581,Not Available,4602.7,6505
2020,SL Green Realty Corporation 485 Lexington Avenue,52141268.3,Not Available,3689.4,1368
2020,SL Green Realty Corporation 1515 Broadway,171135088.8,Not Available,11908.8,11176
2020,SL Green Realty Corporation 125 Park Avenue,38818786.1,Not Available,2728.7,3281
2020,SL Green Realty Corporation 220 East 42nd Street,89021567.2,Not Available,6293,200
2020,SL Green Realty Corporation 100 Church Street,54057089.3,Not Available,3890.1,11114
2020,SL Green Realty Corporation 304 Park Avenue South,10194064.7,Not Available,732,650
2020,SL Green Realty Corporation 11 Madison Avenue,139254300.4,Not Available,9930.3,47998
2020,SL Green Realty Corporation 885 Third Avenue,35774870.3,Not Available,2542.7,1191
2020,1328 Broadway,22872130.2,Not Available,1697.7,517
2020,33-16 Woodside Ave.,13670429.2,Not Available,996.2,12040
2020,100 William,47049684.1,Not Available,3331.1,22390
2020,31 West Fifty Second,40850253.6,Not Available,2871.1,4664.5
2020,UNICEF HOUSE,17097057.9,4268166.3,1208.8,4368
2020,2 United Nations Plaza,45679408.9,Not Available,3194.1,1065
2020,330 Madison Avenue,53188726.6,Not Available,3786.7,4738
2020,One Manhattan West,141930351,15968912.5,9596.7,25000
2020,499 Park Avenue,17152753.8,Not Available,1230.8,660
2020,02-1-New York Head Office,80410476.5,1972868.6,5620.1,13479
2020,One Court Square - 1 Court Square,45779941,Not Available,3364.4,3807
2020,Fox Television Stations LLC,19658740.8,3456763.2,1440.9,2500
2020,200 Liberty Street,96649205.6,Not Available,2092.9,48536
2020,225 Liberty Street,184808583.6,Not Available,13075.9,26811
2020,Five Manhattan West,129369112.7,Not Available,9334.7,28240
2020,250 Vesey Street,143054701.2,51998353.7,10125.7,8266
2020,300 Vesey Street,59207888.7,Not Available,4285.8,25516
2020,333 West 34th Street,26025995.8,Not Available,1731,4900
2020,300 Madison Avenue,86201587.1,Not Available,6210.8,12000
2020,One New York Plaza,227555368.2,Not Available,15527.4,4894
2020,388 Greenwich - HQ,466269276.5,299586910.3,27785.6,196145
2020,One Liberty Plaza,158609782.3,6960522.7,11114.8,13000
2020,NYSE 11 Wall - City Filing,80636271.4,Not Available,5678.5,10708
2020,111 Eighth Avenue,553346338.3,Not Available,40475.2,615752
2020,150 Varick Street,20675431.7,12565310.8,1354.5,19160
2020,222 Broadway,54058460.3,25619706,3910.9,11197
2020,650 Fifth Avenue,26741232,Not Available,1917.4,1910
2020,McGraw Hill - 1221 AOA,200487249.9,Not Available,14121.3,6000
2020,110 William Street,41658753.6,Not Available,2937.4,3250
2020,19 West 44th Street,20881164.4,Not Available,1519.6,480
2020,360 Lexington Ave,12408256.6,Not Available,882.9,405
2020,1375 Broadway,28359879.7,Not Available,2006,2280
2020,5 Bryant Park,34329771.5,Not Available,2429,1152
2020,IAC 555 West 18th Street,20221187.4,Not Available,1288.7,1446
2020,345 Hudson Street,50818034.3,17980822,3547,21225
2020,7 Bryant Park,48358398.9,Not Available,3065.5,10000
2020,GC - 498 7th Ave,46984243.9,Not Available,3096.5,6057
2020,240 Greenwich St,77804119.8,Not Available,9729.3,29494
2020,zzz_730 Third Ave,39654735.2,Not Available,2802.8,15450
2020,452 Fifth Ave,46662566.7,Not Available,3344.2,4372
2020,1 W 39th Street,19326487.5,32749807.2,1400.2,9816
2020,101 Avenue of the Americas,43761381.3,Not Available,3130.3,1119
2020,FAA Facility,9023501.4,Not Available,629.9,1500
2020,CBRE- 2 Grand Central,36212134.6,Not Available,2607.4,2000
2020,162 Fifth Avenue,23087962,Not Available,1653.9,2224
2020,Waterman - 125 West 55th Street,35634942.4,Not Available,2521.5,2747
2020,CBRE-1166 Avenue of the Americas,143953988.5,Not Available,9962.2,3156
2020,110 Leroy Street,7861311.4,Not Available,563.4,2600
2020,"ICP Realty, LLC",1996128.7,Not Available,123.6,5000
2020,SL Green Realty Corporation 919 Third Avenue,127006656.2,Not Available,8914.2,12543
2020,10 Hudson Yards,200059211.9,13310478,11762,4000
2020,Brooklyn Tabernacle,7506249.5,Not Available,491.7,5500
2020,Court Square Place,18330129.7,5558900.1,1224.1,3315
2020,02-3-New York 33ML,29446982.3,Not Available,2120.6,7436
2020,CW - 50 Varick Street,35229775.6,Not Available,2484.1,26000
2020,Jeff Bar Inc/ 630 9th Ave Leasehold,20071649.8,5077689.4,1383.2,4352
2020,277 Park Avenue,212501720,Not Available,14732.7,25682
2020,(71003A) Herald Square Macy's,141682519.7,Not Available,10130.9,23074
2020,277 Park Avenue,212501720,Not Available,14732.7,25682
2020,The Argonaut Building,8501561.2,Not Available,602.2,305
2020,90 Church Street,69144351.9,10618458.5,4939.2,6500
2020,GM Building,210944073.9,Not Available,14705.1,1560
2020,250 West 55th Street,53832856.4,Not Available,3554.9,3500
2020,Ford Foundation - 320 East 43rd,22832535.7,Not Available,1593.9,1380
